P5序号,交付件,列源,总列数,可信度,用法,ROI,game_pnl,hold 族,stake 本金,valid_bet 洗码,profit 毛赢,NGR,rebate 退水,agent_cost,Net Margin,residual_b/a,Economic Value,Theo,ADT,NMPT,ESI,effect 处置效应,expected_gain,最大回撤 MDD,夏普 Sharpe,索提诺 Sortino,APUC,Wilcoxon,符号检验,AUC,Wilson 区间,PCA,vip_tier 秩,action_priority,evidence 证据,命中指标族数
57,P_player_month.csv,实测表头,136,WRONG_GRAIN,NOT_FOR_DECISION,✓ 10 栏：roi、roi_xagg、roi_recent、roi_non_recent…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 2 栏：valid_bet、valid_bet_xagg,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
58,QSB_01a_category_census.csv,实测表头,149,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 3 栏：stake_sum、stake、stake_ramp,✓ 2 栏：validbet_sum、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
59,QSB_01c_cat1_contamination.csv,实测表头,137,OK,SUPPORT,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 3 栏：stake_sum、stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
60,QSB_02a_lowcard_fields.csv,实测表头,145,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
61,QSB_02b2_lowcard_five_gates.csv,实测表头,146,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
62,QSB_02b_state_cross.csv,实测表头,136,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
63,QSB_02c_push_by_family.csv,实测表头,137,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
64,R01_late_shoe.csv,实测表头,142,OK,PRIMARY,✓ 11 栏：roi_late、roi_early、roi、roi_late_xagg…,✓ 2 栏：game_pnl_late、game_pnl_all,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 7 栏：stake_late_avg、stake_early_avg、stake_ramp、stake_late…,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
65,R01_late_shoe_w2.csv,实测表头,142,OK,PRIMARY,✓ 11 栏：roi_late、roi_early、roi、roi_late_xagg…,✓ 2 栏：game_pnl_late、game_pnl_all,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 7 栏：stake_late_avg、stake_early_avg、stake_ramp、stake_late…,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
66,R01anm_shoe_anomaly.csv,实测表头,138,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
67,R01chk_shoe_len_by_table.csv,实测表头,155,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
68,R01inv_shoe_len_census.csv,实测表头,146,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
69,R02_same_table.csv,实测表头,139,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_same、roi_non_same、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_same、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
70,R03_player_dealer.csv,实测表头,160,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 1 栏：game_pnl_all,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 4 栏：stake_amount、stake_all、stake、stake_ramp,✓ 1 栏：valid_bet,✓ 2 栏：profit_amount、profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
71,R03b_player_dealer_daily.csv,声明（现档不在位）,222,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 4 栏：stake、stake_raw、stake_amount、stake_ramp,✓ 1 栏：valid_bet,✓ 2 栏：profit_amount、profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 18 栏：agent_cost、agent_cost_a_legacy、agent_cost_valid_base_legacy、agent_cost_lv1…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
72,R03chk_settlement_form.csv,实测表头,133,OK,REFERENCE,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
73,R03inv_pair_census.csv,实测表头,133,INVALID,SCREENING,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
74,R_rebate_dist.csv,实测表头,130,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate_rate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
75,S01_player_score.csv,实测表头,146,OK,PRIMARY,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
76,S02_dealer_score.csv,实测表头,136,OK,SUPPORT,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
77,S02b_dealer_pace.csv,实测表头,130,OK,SUPPORT,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
78,S03_agent_score.csv,实测表头,35,INVALID,NOT_FOR_DECISION,,,✓ 1 栏：hold_rate,✓ 2 栏：stake、stake_testline_audit,✓ 1 栏：valid_bet,✓ 2 栏：profit、profit_testline_audit,✓ 1 栏：ngr,✓ 1 栏：rebate_cost,,,✓ 2 栏：residual_b、residual_a,,,,,,,,,,,,,,,,,,,,7
79,S04_analyst_score.csv,实测表头,134,NULL,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
80,S05_member_month_panel.csv,实测表头,145,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
81,S_player_tail.csv,实测表头,145,OK,PRIMARY,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
82,S_second_dist.csv,实测表头,135,OK,SUPPORT,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
83,T02_daily_roi.csv,实测表头,132,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 3 栏：stake、stake_xagg、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
84,T03_arbitrage.csv,实测表头,137,OK,PRIMARY,✓ 9 栏：roi、roi_hedge、roi_non_hedge、roi_ex_rebate…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_hedge、hold_ci_halfwidth_approx,✓ 4 栏：stake、stake_cv、stake_xagg、stake_ramp,✓ 2 栏：validbet、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
85,TL00_table_inventory.csv,实测表头,132,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
